log_id,timestamp,username,source_ip,destination_host,status,auth_method
36,2025-09-06 16:11:00,sbrown,172.18.222.4,vpn-gateway,SUCCESS,MFA
37,2025-09-03 07:37:00,kristine19,192.168.251.77,corp-server-01,SUCCESS,SSH
38,2025-09-07 00:41:00,tromero,10.26.175.157,db-server-01,SUCCESS,MFA
39,2025-09-03 04:24:00,yperez,10.215.114.39,corp-server-01,FAILURE,MFA
40,2025-09-07 14:27:00,gabriel80,172.21.46.11,corp-server-02,SUCCESS,SSH
41,2025-09-05 05:38:00,gonzaleskevin,10.84.47.138,vpn-gateway,FAILURE,MFA
42,2025-09-01 12:39:00,landerson,192.168.156.27,vpn-gateway,FAILURE,PASSWORD
43,2025-09-02 09:59:00,dustinhall,10.67.21.240,corp-server-01,FAILURE,PASSWORD
44,2025-09-03 02:46:00,smithgregory,172.27.185.19,corp-server-02,FAILURE,MFA
45,2025-09-01 16:58:00,hlarsen,10.188.220.139,vpn-gateway,FAILURE,MFA
46,2025-09-04 19:10:00,robert04,10.228.0.191,corp-server-02,FAILURE,MFA
47,2025-09-03 12:43:00,eugene66,172.30.165.27,corp-server-02,SUCCESS,SSH
48,2025-09-03 09:15:00,pgreen,192.168.77.212,corp-server-02,SUCCESS,PASSWORD
49,2025-09-03 22:08:00,kgonzalez,10.213.235.144,corp-server-02,SUCCESS,PASSWORD
50,2025-09-03 10:44:00,cjames,10.98.34.48,corp-server-01,SUCCESS,MFA
51,2025-09-06 06:51:00,fcarlson,192.168.149.82,vpn-gateway,SUCCESS,PASSWORD
52,2025-09-02 22:13:00,edward46,172.20.141.221,corp-server-01,FAILURE,PASSWORD
53,2025-09-05 04:47:00,danaperez,192.168.171.9,vpn-gateway,FAILURE,SSH
54,2025-09-04 13:13:00,karengarcia,10.107.56.200,db-server-01,FAILURE,SSH
55,2025-09-02 11:00:00,mnguyen,10.44.13.141,corp-server-02,SUCCESS,MFA
56,2025-09-03 14:08:00,victoria44,10.109.212.242,db-server-01,SUCCESS,MFA
57,2025-09-03 11:26:00,nichole34,10.159.230.95,vpn-gateway,FAILURE,SSH
58,2025-09-03 22:51:00,laura27,10.21.52.104,corp-server-01,SUCCESS,MFA
59,2025-09-01 17:58:00,adrianwalker,10.76.209.75,db-server-01,SUCCESS,PASSWORD
60,2025-09-03 01:44:00,patricia32,10.201.137.194,corp-server-01,FAILURE,MFA
61,2025-09-02 03:16:00,bakermeghan,192.168.37.77,corp-server-01,SUCCESS,PASSWORD
62,2025-09-07 17:06:00,santossara,10.103.243.53,corp-server-02,SUCCESS,SSH
63,2025-09-02 23:52:00,tuckerchristopher,10.242.116.21,vpn-gateway,SUCCESS,MFA
64,2025-09-06 11:47:00,john95,10.121.247.222,corp-server-02,FAILURE,SSH
65,2025-09-05 23:34:00,albert47,10.179.124.6,corp-server-02,FAILURE,PASSWORD
66,2025-09-05 16:40:00,robert72,10.23.239.57,corp-server-01,SUCCESS,PASSWORD
67,2025-09-06 17:55:00,michellehenderson,192.168.122.31,db-server-01,SUCCESS,PASSWORD
68,2025-09-03 00:55:00,howardcorey,172.16.27.115,corp-server-02,FAILURE,PASSWORD
69,2025-09-02 04:37:00,joseph72,10.204.93.194,vpn-gateway,FAILURE,SSH
70,2025-09-04 22:52:00,kimvickie,192.168.105.178,db-server-01,FAILURE,PASSWORD
71,2025-09-01 06:47:00,dianapalmer,192.168.157.165,corp-server-02,FAILURE,PASSWORD
72,2025-09-07 09:35:00,deanmendoza,172.31.140.20,corp-server-02,FAILURE,PASSWORD
73,2025-09-03 19:23:00,zvazquez,172.17.28.231,db-server-01,SUCCESS,PASSWORD
74,2025-09-05 12:49:00,ebowen,192.168.77.213,db-server-01,FAILURE,PASSWORD
75,2025-09-02 17:54:00,kterry,172.23.111.25,corp-server-01,SUCCESS,SSH
76,2025-09-05 13:58:00,pbanks,172.27.123.108,corp-server-01,FAILURE,MFA
77,2025-09-03 16:06:00,felicia06,10.116.95.14,corp-server-02,SUCCESS,PASSWORD
78,2025-09-01 01:14:00,phillipsjeremy,172.30.254.77,corp-server-02,FAILURE,MFA
79,2025-09-02 10:29:00,scott75,192.168.185.249,corp-server-02,SUCCESS,PASSWORD
80,2025-09-04 20:02:00,woodallison,10.201.235.150,vpn-gateway,SUCCESS,PASSWORD
81,2025-09-01 17:58:00,whobbs,10.94.90.93,corp-server-02,FAILURE,MFA
82,2025-09-03 04:31:00,nicoleandrews,192.168.122.12,corp-server-02,SUCCESS,SSH
83,2025-09-04 11:31:00,daniel18,172.16.177.169,vpn-gateway,FAILURE,MFA
84,2025-09-07 07:04:00,awilson,172.16.123.254,vpn-gateway,FAILURE,SSH
85,2025-09-07 09:18:00,danielcooper,10.112.207.14,vpn-gateway,SUCCESS,MFA
86,2025-09-05 16:18:00,browndenise,10.12.239.17,db-server-01,SUCCESS,SSH
87,2025-09-01 06:03:00,csmith,192.168.8.73,db-server-01,SUCCESS,SSH
88,2025-09-05 15:01:00,nicolepacheco,10.123.37.222,corp-server-01,FAILURE,MFA
89,2025-09-03 21:24:00,kimpacheco,172.28.244.124,corp-server-01,FAILURE,MFA
90,2025-09-04 11:29:00,ericharris,192.168.223.139,corp-server-02,FAILURE,PASSWORD
91,2025-09-01 11:03:00,jacob24,10.232.78.189,corp-server-01,SUCCESS,SSH
92,2025-09-04 02:41:00,francisco22,192.168.147.229,db-server-01,SUCCESS,PASSWORD
93,2025-09-06 02:14:00,youngchris,172.25.164.90,corp-server-01,FAILURE,SSH
94,2025-09-05 08:43:00,misty68,172.18.76.130,db-server-01,FAILURE,MFA
95,2025-09-01 15:37:00,jennifer56,172.19.180.138,corp-server-01,SUCCESS,MFA
96,2025-09-04 21:12:00,richardschneider,10.164.4.114,corp-server-02,SUCCESS,PASSWORD
97,2025-09-02 18:01:00,sarah29,172.25.225.37,vpn-gateway,FAILURE,SSH
98,2025-09-07 08:17:00,karen38,10.54.97.105,vpn-gateway,FAILURE,MFA
99,2025-09-03 14:28:00,brandtsamuel,192.168.241.205,db-server-01,FAILURE,PASSWORD
100,2025-09-06 13:51:00,vpratt,172.30.56.56,corp-server-02,SUCCESS,PASSWORD
101,2025-09-02 19:55:00,jensenmichael,192.168.71.126,db-server-01,SUCCESS,SSH
102,2025-09-01 00:26:00,fullertimothy,192.168.103.197,vpn-gateway,FAILURE,MFA
103,2025-09-01 01:25:00,sonyacook,10.151.131.218,corp-server-02,FAILURE,SSH
104,2025-09-01 03:57:00,jeremy78,192.168.172.122,corp-server-01,FAILURE,PASSWORD
105,2025-09-05 11:19:00,veronica53,172.19.153.48,corp-server-01,FAILURE,PASSWORD
106,2025-09-07 05:14:00,ophillips,10.219.158.206,corp-server-01,FAILURE,PASSWORD
107,2025-09-07 04:28:00,brittanywade,192.168.68.2,vpn-gateway,FAILURE,PASSWORD
108,2025-09-04 02:57:00,hmorgan,172.28.30.131,db-server-01,FAILURE,MFA
109,2025-09-03 02:41:00,whitemelanie,10.109.215.135,corp-server-01,SUCCESS,MFA
110,2025-09-02 12:39:00,lyonsfrank,172.26.142.3,vpn-gateway,SUCCESS,SSH
111,2025-09-07 09:14:00,carolynrice,192.168.209.221,db-server-01,FAILURE,PASSWORD
112,2025-09-04 21:12:00,xleonard,192.168.185.86,db-server-01,SUCCESS,PASSWORD
113,2025-09-05 00:32:00,stoneemily,10.225.179.192,corp-server-02,SUCCESS,MFA
114,2025-09-03 00:54:00,derrickwyatt,192.168.70.186,vpn-gateway,FAILURE,MFA
115,2025-09-07 17:35:00,sandrawarner,192.168.118.88,db-server-01,FAILURE,PASSWORD
116,2025-09-04 23:58:00,wilsonmichael,10.88.241.117,corp-server-01,SUCCESS,MFA
117,2025-09-07 09:40:00,henrystephanie,172.17.0.83,vpn-gateway,FAILURE,PASSWORD
118,2025-09-05 04:21:00,zriley,172.16.7.215,corp-server-01,FAILURE,MFA
119,2025-09-03 05:39:00,kmorgan,172.31.103.135,vpn-gateway,SUCCESS,PASSWORD
120,2025-09-03 00:43:00,oconnorkaren,172.22.51.98,db-server-01,SUCCESS,MFA
121,2025-09-03 16:32:00,marksutton,10.69.200.200,vpn-gateway,FAILURE,PASSWORD
122,2025-09-02 23:39:00,tinahowell,10.148.216.71,db-server-01,SUCCESS,SSH
123,2025-09-04 17:26:00,scottfox,192.168.239.252,vpn-gateway,SUCCESS,MFA
124,2025-09-04 10:56:00,hallelizabeth,10.27.70.134,vpn-gateway,FAILURE,MFA
125,2025-09-02 06:57:00,jamescollins,10.81.4.178,db-server-01,FAILURE,PASSWORD
126,2025-09-01 00:35:00,franklinangela,10.43.94.42,vpn-gateway,FAILURE,SSH
127,2025-09-03 03:04:00,joshua07,172.31.147.205,corp-server-01,SUCCESS,SSH
128,2025-09-01 05:18:00,pdudley,172.28.41.228,corp-server-01,FAILURE,SSH
129,2025-09-07 09:37:00,guy83,10.49.132.107,corp-server-01,SUCCESS,MFA
130,2025-09-02 15:17:00,nicole07,192.168.172.121,vpn-gateway,FAILURE,MFA
131,2025-09-07 03:19:00,angelarussell,172.25.64.220,vpn-gateway,FAILURE,MFA
132,2025-09-06 15:49:00,kennethbrown,10.232.52.148,corp-server-01,FAILURE,MFA
133,2025-09-06 15:42:00,lopezstephanie,192.168.86.166,db-server-01,FAILURE,SSH
134,2025-09-05 19:11:00,marvin82,10.96.220.102,vpn-gateway,SUCCESS,PASSWORD
135,2025-09-03 06:40:00,savannahpatterson,192.168.208.235,vpn-gateway,FAILURE,MFA
136,2025-09-04 01:34:00,paynenicole,10.63.161.30,corp-server-01,SUCCESS,PASSWORD
137,2025-09-03 06:30:00,eroach,10.122.96.17,vpn-gateway,FAILURE,MFA
138,2025-09-03 17:56:00,jared63,10.103.207.207,vpn-gateway,FAILURE,MFA
139,2025-09-02 12:57:00,zwallace,192.168.183.63,db-server-01,SUCCESS,PASSWORD
140,2025-09-06 20:35:00,jensenpatricia,10.122.186.173,vpn-gateway,SUCCESS,MFA
141,2025-09-06 06:11:00,heather38,192.168.120.65,vpn-gateway,SUCCESS,MFA
142,2025-09-01 08:30:00,istewart,192.168.117.223,corp-server-01,SUCCESS,SSH
143,2025-09-05 22:59:00,mirandagonzalez,172.31.250.229,vpn-gateway,SUCCESS,PASSWORD
144,2025-09-04 22:22:00,ybailey,10.206.76.183,db-server-01,FAILURE,SSH
145,2025-09-02 03:26:00,paultorres,192.168.31.45,vpn-gateway,FAILURE,SSH
146,2025-09-06 18:08:00,hknight,172.20.57.105,vpn-gateway,SUCCESS,MFA
147,2025-09-04 11:25:00,sjohnson,192.168.80.83,db-server-01,SUCCESS,SSH
148,2025-09-05 10:25:00,cconner,172.21.165.145,corp-server-02,SUCCESS,SSH
149,2025-09-07 09:02:00,aliciahayden,172.22.123.198,corp-server-01,SUCCESS,MFA
150,2025-09-07 01:00:00,cshaw,10.131.149.121,vpn-gateway,SUCCESS,SSH
151,2025-09-01 11:16:00,joshuawalker,192.168.228.64,corp-server-02,FAILURE,MFA
152,2025-09-03 04:49:00,davidvelasquez,192.168.249.186,db-server-01,SUCCESS,MFA
153,2025-09-03 10:58:00,simmonsamy,192.168.28.183,db-server-01,FAILURE,PASSWORD
154,2025-09-04 21:57:00,brandonharrison,192.168.248.198,vpn-gateway,SUCCESS,PASSWORD
155,2025-09-06 18:41:00,hudsonscott,10.64.163.231,vpn-gateway,SUCCESS,MFA
156,2025-09-04 09:33:00,shannonweaver,172.22.5.40,corp-server-02,SUCCESS,PASSWORD
157,2025-09-05 14:37:00,carlospatrick,172.22.205.45,corp-server-01,SUCCESS,PASSWORD
158,2025-09-05 08:35:00,fullerjason,172.21.209.91,corp-server-01,FAILURE,SSH
159,2025-09-04 10:28:00,norrismaria,10.187.88.36,corp-server-02,FAILURE,PASSWORD
160,2025-09-04 00:15:00,duartedonald,10.2.124.139,corp-server-02,FAILURE,SSH
161,2025-09-04 21:19:00,monica69,172.20.114.239,vpn-gateway,FAILURE,PASSWORD
162,2025-09-03 19:54:00,brownjamie,172.21.13.222,corp-server-01,SUCCESS,PASSWORD
163,2025-09-01 20:25:00,wgonzalez,172.25.118.162,vpn-gateway,SUCCESS,MFA
164,2025-09-04 17:55:00,robinsonanthony,172.18.60.46,vpn-gateway,SUCCESS,SSH
165,2025-09-07 11:47:00,jonathan34,10.192.33.120,db-server-01,FAILURE,SSH
166,2025-09-05 12:39:00,jeffrey41,172.30.227.26,vpn-gateway,FAILURE,PASSWORD
167,2025-09-07 06:58:00,travis85,10.124.209.86,vpn-gateway,SUCCESS,SSH
168,2025-09-02 02:11:00,hwilliams,10.211.4.217,vpn-gateway,SUCCESS,PASSWORD
169,2025-09-01 05:35:00,daniellesmith,10.102.95.153,corp-server-01,FAILURE,SSH
170,2025-09-02 16:15:00,clayjames,172.21.123.156,corp-server-02,FAILURE,SSH
171,2025-09-07 11:09:00,rhale,192.168.214.177,corp-server-02,FAILURE,PASSWORD
172,2025-09-02 10:54:00,aprilmason,172.17.192.192,corp-server-02,SUCCESS,MFA
173,2025-09-06 15:55:00,jeffrey63,172.29.134.189,corp-server-02,SUCCESS,SSH
174,2025-09-05 21:55:00,courtney21,10.136.94.143,db-server-01,FAILURE,MFA
175,2025-09-04 09:11:00,wadesarah,192.168.231.56,corp-server-01,FAILURE,MFA
176,2025-09-04 04:23:00,bensonlawrence,172.29.26.230,corp-server-02,SUCCESS,SSH
177,2025-09-03 07:27:00,batesjacqueline,10.199.21.155,vpn-gateway,SUCCESS,MFA
178,2025-09-06 03:52:00,jeffrey51,192.168.90.169,corp-server-01,SUCCESS,MFA
179,2025-09-01 09:18:00,rochadennis,172.19.176.92,corp-server-02,SUCCESS,SSH
180,2025-09-06 11:48:00,scottsteven,192.168.155.157,corp-server-01,FAILURE,MFA
181,2025-09-05 01:55:00,randallrobertson,172.19.180.37,corp-server-01,SUCCESS,PASSWORD
182,2025-09-05 11:44:00,tuckertiffany,172.28.49.96,corp-server-01,FAILURE,PASSWORD
183,2025-09-06 14:11:00,ycooper,192.168.118.13,vpn-gateway,SUCCESS,SSH
184,2025-09-05 13:47:00,reynoldswesley,192.168.240.45,corp-server-02,SUCCESS,MFA
185,2025-09-07 18:48:00,johnsontheresa,172.25.57.111,vpn-gateway,SUCCESS,SSH
186,2025-09-01 01:53:00,jamiejones,172.16.90.92,corp-server-01,FAILURE,SSH
187,2025-09-06 04:56:00,nbarker,172.27.20.3,vpn-gateway,SUCCESS,MFA
188,2025-09-06 09:59:00,orussell,10.244.77.4,corp-server-02,SUCCESS,PASSWORD
189,2025-09-05 06:11:00,tina95,10.109.29.141,vpn-gateway,SUCCESS,MFA
190,2025-09-02 18:20:00,jennifer84,172.25.195.221,corp-server-02,SUCCESS,MFA
191,2025-09-06 14:11:00,yvance,10.120.144.170,db-server-01,SUCCESS,PASSWORD
192,2025-09-05 23:58:00,kmorrison,192.168.30.225,corp-server-02,FAILURE,PASSWORD
193,2025-09-01 18:53:00,mandy72,10.78.122.178,corp-server-02,FAILURE,MFA
194,2025-09-04 15:44:00,rodriguezchloe,192.168.179.72,corp-server-02,FAILURE,SSH
195,2025-09-01 21:52:00,millerchristy,192.168.224.250,corp-server-02,SUCCESS,MFA
196,2025-09-06 05:09:00,probertson,192.168.80.234,corp-server-01,SUCCESS,PASSWORD
197,2025-09-07 12:24:00,ryan70,192.168.156.135,corp-server-01,FAILURE,MFA
198,2025-09-06 03:24:00,smithjoseph,10.139.112.209,db-server-01,FAILURE,PASSWORD
199,2025-09-01 03:46:00,nicholas41,10.159.154.90,corp-server-01,SUCCESS,SSH
200,2025-09-05 02:24:00,ashleysharp,192.168.59.47,vpn-gateway,FAILURE,SSH
201,2025-09-06 10:35:00,steven11,192.168.176.97,vpn-gateway,FAILURE,PASSWORD
202,2025-09-07 01:58:00,christian98,192.168.168.215,corp-server-01,FAILURE,SSH
203,2025-09-02 06:52:00,brittany78,192.168.205.73,db-server-01,SUCCESS,SSH
204,2025-09-04 16:29:00,russellhernandez,10.46.47.187,corp-server-01,FAILURE,MFA
205,2025-09-05 13:11:00,newmanmark,192.168.186.4,vpn-gateway,SUCCESS,SSH
206,2025-09-04 11:20:00,alexander22,10.165.195.192,corp-server-01,FAILURE,MFA
207,2025-09-05 19:20:00,duane08,192.168.247.17,vpn-gateway,SUCCESS,PASSWORD
208,2025-09-03 02:10:00,mwiley,10.39.200.148,db-server-01,SUCCESS,MFA
209,2025-09-01 09:15:00,kosborne,172.30.158.36,db-server-01,FAILURE,MFA
210,2025-09-02 06:47:00,wileykelly,10.124.14.124,vpn-gateway,FAILURE,SSH
211,2025-09-02 18:04:00,justin85,10.149.146.3,vpn-gateway,FAILURE,SSH
212,2025-09-06 04:32:00,richard19,192.168.190.46,db-server-01,FAILURE,SSH
213,2025-09-05 05:54:00,fpeters,192.168.52.35,db-server-01,FAILURE,SSH
214,2025-09-07 14:52:00,harveydeanna,10.166.225.150,db-server-01,FAILURE,MFA
215,2025-09-06 02:36:00,allenmark,10.181.72.150,corp-server-02,FAILURE,SSH
216,2025-09-04 13:59:00,celliott,10.140.237.188,db-server-01,SUCCESS,PASSWORD
217,2025-09-02 10:13:00,ralph31,10.130.71.76,corp-server-01,FAILURE,PASSWORD
218,2025-09-03 10:32:00,johnsonmary,10.77.116.71,vpn-gateway,SUCCESS,SSH
219,2025-09-05 00:49:00,james87,10.198.110.72,vpn-gateway,SUCCESS,MFA
220,2025-09-04 18:52:00,lauraperez,192.168.233.249,vpn-gateway,FAILURE,MFA
221,2025-09-07 15:54:00,hernandezgregory,192.168.154.222,corp-server-02,FAILURE,MFA
222,2025-09-07 16:28:00,barnescatherine,172.28.23.211,vpn-gateway,FAILURE,SSH
223,2025-09-06 10:18:00,josemack,172.20.227.233,db-server-01,FAILURE,MFA
224,2025-09-06 15:08:00,christopher62,10.249.41.45,corp-server-01,SUCCESS,MFA
225,2025-09-03 14:35:00,ksharp,10.240.16.170,vpn-gateway,SUCCESS,PASSWORD
226,2025-09-02 21:57:00,amy24,172.29.99.41,vpn-gateway,FAILURE,PASSWORD
227,2025-09-02 12:28:00,boydnorman,172.28.226.20,corp-server-02,FAILURE,SSH
228,2025-09-05 16:10:00,hmoore,10.23.163.49,db-server-01,SUCCESS,MFA
229,2025-09-04 18:49:00,laurawilkins,192.168.209.20,vpn-gateway,FAILURE,SSH
230,2025-09-07 05:00:00,crawfordjessica,172.23.169.222,vpn-gateway,SUCCESS,SSH
231,2025-09-01 13:00:00,nicolewilson,172.29.22.61,db-server-01,SUCCESS,SSH
232,2025-09-04 03:27:00,smithelizabeth,10.74.141.128,vpn-gateway,SUCCESS,PASSWORD
233,2025-09-03 12:33:00,douglasoliver,192.168.145.228,vpn-gateway,SUCCESS,MFA
234,2025-09-04 07:08:00,johnmiddleton,10.163.186.71,corp-server-01,SUCCESS,PASSWORD
235,2025-09-06 14:32:00,fuentessophia,192.168.248.131,corp-server-02,FAILURE,MFA
236,2025-09-06 08:44:00,porterdestiny,10.203.141.79,corp-server-02,SUCCESS,MFA
237,2025-09-03 07:44:00,alexander65,172.19.138.110,corp-server-01,FAILURE,SSH
238,2025-09-07 06:38:00,brownjorge,192.168.250.153,corp-server-02,SUCCESS,PASSWORD
239,2025-09-01 09:54:00,chambersrenee,10.51.173.34,corp-server-02,SUCCESS,SSH
240,2025-09-07 07:25:00,farmercody,172.20.97.207,vpn-gateway,SUCCESS,PASSWORD
241,2025-09-07 13:16:00,flowersvictoria,10.87.141.227,corp-server-02,FAILURE,SSH
242,2025-09-07 01:43:00,jonesdarius,192.168.74.31,vpn-gateway,SUCCESS,PASSWORD
243,2025-09-03 12:44:00,cookamanda,172.17.214.47,vpn-gateway,SUCCESS,MFA
244,2025-09-04 11:14:00,tyler04,172.24.220.167,db-server-01,FAILURE,MFA
245,2025-09-01 03:46:00,yharrell,10.222.205.109,corp-server-02,FAILURE,PASSWORD
246,2025-09-04 12:15:00,rdelgado,10.253.188.208,vpn-gateway,FAILURE,SSH
247,2025-09-03 03:08:00,bonnie36,192.168.103.193,corp-server-02,SUCCESS,PASSWORD
248,2025-09-03 16:52:00,donovanjack,10.0.79.88,db-server-01,FAILURE,MFA
249,2025-09-01 22:55:00,carlsonangela,192.168.160.237,corp-server-01,FAILURE,SSH
250,2025-09-03 13:43:00,byrdnicholas,172.23.101.34,corp-server-02,SUCCESS,SSH
251,2025-09-04 17:30:00,john83,172.31.239.176,vpn-gateway,SUCCESS,MFA
252,2025-09-04 02:20:00,david29,10.218.209.139,corp-server-02,FAILURE,PASSWORD
253,2025-09-02 03:15:00,petersjohn,10.103.67.246,vpn-gateway,SUCCESS,MFA
254,2025-09-06 12:40:00,melanie21,10.200.0.238,vpn-gateway,FAILURE,SSH
255,2025-09-03 20:39:00,thompsonantonio,10.193.248.82,corp-server-01,SUCCESS,MFA
256,2025-09-05 02:56:00,morganashley,192.168.60.112,db-server-01,SUCCESS,SSH
257,2025-09-04 15:54:00,briancraig,172.29.195.131,corp-server-02,SUCCESS,SSH
258,2025-09-05 11:41:00,carl55,10.170.204.95,db-server-01,FAILURE,MFA
259,2025-09-02 08:23:00,wpoole,10.33.220.249,db-server-01,FAILURE,MFA
260,2025-09-04 08:57:00,parkerjudy,192.168.24.242,corp-server-02,SUCCESS,SSH
261,2025-09-06 08:57:00,schristensen,172.22.64.121,corp-server-01,SUCCESS,SSH
262,2025-09-05 15:02:00,tiffany94,10.105.226.215,corp-server-02,FAILURE,PASSWORD
263,2025-09-02 07:10:00,carrchristopher,192.168.31.127,corp-server-01,FAILURE,MFA
264,2025-09-05 09:27:00,smithbrian,172.19.193.52,db-server-01,SUCCESS,SSH
265,2025-09-02 01:38:00,josephramirez,172.22.213.209,corp-server-02,SUCCESS,SSH
266,2025-09-04 23:47:00,brad05,172.27.93.213,vpn-gateway,SUCCESS,MFA
267,2025-09-01 23:14:00,lorimartinez,172.16.216.153,corp-server-02,SUCCESS,MFA
268,2025-09-01 00:37:00,cbowman,10.244.35.35,corp-server-02,FAILURE,SSH
269,2025-09-02 05:40:00,craigashley,192.168.212.88,corp-server-01,SUCCESS,PASSWORD
270,2025-09-03 05:36:00,james18,172.30.238.21,db-server-01,SUCCESS,MFA
271,2025-09-04 18:01:00,sherri78,192.168.193.201,corp-server-02,FAILURE,MFA
272,2025-09-04 00:08:00,richardsonlinda,192.168.184.63,corp-server-02,SUCCESS,PASSWORD
273,2025-09-01 11:45:00,kelleyjessica,10.209.230.58,corp-server-01,FAILURE,MFA
274,2025-09-05 21:13:00,armstrongeric,192.168.14.180,corp-server-02,FAILURE,PASSWORD
275,2025-09-05 13:03:00,ybarker,192.168.111.77,corp-server-02,FAILURE,MFA
276,2025-09-05 10:12:00,dylan86,172.23.114.153,db-server-01,FAILURE,MFA
277,2025-09-02 23:31:00,kristinamccarthy,10.238.177.83,corp-server-02,FAILURE,PASSWORD
278,2025-09-06 18:41:00,nicolegomez,192.168.53.55,corp-server-01,FAILURE,SSH
279,2025-09-01 07:05:00,reynoldsderek,172.24.32.127,corp-server-02,FAILURE,SSH
280,2025-09-06 17:48:00,rossrobin,192.168.218.230,vpn-gateway,FAILURE,SSH
281,2025-09-05 05:43:00,lisabaker,192.168.253.222,corp-server-02,SUCCESS,PASSWORD
282,2025-09-06 16:47:00,john02,10.246.229.0,vpn-gateway,FAILURE,MFA
283,2025-09-06 03:47:00,ksanchez,172.19.252.146,db-server-01,FAILURE,MFA
284,2025-09-06 06:05:00,aaron18,172.22.200.135,db-server-01,FAILURE,PASSWORD
285,2025-09-02 22:15:00,glee,10.181.226.94,corp-server-02,SUCCESS,PASSWORD
286,2025-09-06 03:31:00,stevenmoore,172.21.194.193,db-server-01,FAILURE,SSH
287,2025-09-06 21:12:00,dwhitehead,10.226.102.178,corp-server-02,SUCCESS,MFA
288,2025-09-05 22:45:00,markcooper,10.105.248.41,db-server-01,FAILURE,MFA
289,2025-09-02 13:07:00,patrickmckenzie,10.69.117.141,db-server-01,FAILURE,PASSWORD
290,2025-09-01 00:36:00,stevensmark,172.28.23.81,vpn-gateway,SUCCESS,MFA
291,2025-09-02 23:27:00,lthompson,172.19.144.48,vpn-gateway,SUCCESS,SSH
292,2025-09-05 20:32:00,brenda29,172.16.231.135,db-server-01,SUCCESS,MFA
293,2025-09-04 18:44:00,ssandoval,192.168.57.73,corp-server-01,FAILURE,PASSWORD
294,2025-09-07 07:18:00,sean34,192.168.93.206,vpn-gateway,SUCCESS,SSH
