log_id,timestamp,source_ip,destination_ip,source_port,destination_port,protocol,action
37,2025-09-05 15:50:00,192.168.169.86,172.25.123.42,44160,22,TCP,DENY
38,2025-09-04 03:57:00,10.229.34.148,10.110.230.140,20053,3389,TCP,DENY
39,2025-09-06 02:21:00,10.123.202.104,192.168.189.38,10172,22,UDP,DENY
40,2025-09-02 06:45:00,172.28.146.85,192.168.36.219,51638,80,TCP,DENY
41,2025-09-02 15:50:00,192.168.196.245,10.178.237.84,11369,3389,TCP,DENY
42,2025-09-06 20:43:00,172.24.7.75,10.5.85.51,11584,80,TCP,ALLOW
43,2025-09-04 20:44:00,172.31.108.137,172.26.203.236,16865,3389,TCP,DROP
44,2025-09-05 21:12:00,10.179.125.104,172.24.27.159,31234,80,TCP,DENY
45,2025-09-02 03:50:00,172.29.223.238,172.28.110.178,25645,22,UDP,DROP
46,2025-09-05 23:22:00,172.31.61.6,192.168.214.5,35591,443,TCP,DROP
47,2025-09-06 12:17:00,192.168.5.39,192.168.155.97,15631,80,TCP,ALLOW
48,2025-09-03 08:24:00,192.168.14.225,10.132.132.180,33780,80,TCP,DENY
49,2025-09-07 12:53:00,10.180.216.41,192.168.10.228,9020,22,TCP,DENY
50,2025-09-06 04:33:00,192.168.124.120,172.16.61.94,3845,80,UDP,ALLOW
51,2025-09-03 07:55:00,10.253.61.151,10.8.121.208,30818,443,UDP,ALLOW
52,2025-09-07 02:03:00,10.11.84.87,192.168.125.206,54366,8080,UDP,ALLOW
53,2025-09-03 07:59:00,192.168.132.29,172.25.139.154,64696,80,TCP,DROP
54,2025-09-02 02:11:00,172.24.74.162,192.168.130.219,18419,3389,UDP,DROP
55,2025-09-05 05:08:00,10.156.245.38,10.197.172.167,14842,22,TCP,DROP
56,2025-09-02 19:51:00,10.162.196.63,192.168.213.163,8755,443,TCP,DENY
57,2025-09-07 18:29:00,192.168.224.208,192.168.249.68,34096,80,UDP,DROP
58,2025-09-01 06:07:00,10.47.31.90,192.168.187.211,24387,80,TCP,ALLOW
59,2025-09-04 18:04:00,192.168.57.60,172.21.230.205,17853,3389,TCP,DENY
60,2025-09-04 07:39:00,192.168.146.55,172.16.241.139,58827,80,UDP,DENY
61,2025-09-06 10:13:00,192.168.113.48,172.31.32.204,48898,80,TCP,ALLOW
62,2025-09-06 14:47:00,172.21.80.89,172.29.124.19,48964,80,TCP,DROP
63,2025-09-02 06:57:00,192.168.171.194,172.30.2.228,21801,3389,TCP,ALLOW
64,2025-09-04 12:39:00,192.168.141.155,192.168.29.124,34893,443,UDP,ALLOW
65,2025-09-02 08:30:00,172.16.85.68,192.168.227.243,6526,80,TCP,DENY
66,2025-09-07 09:35:00,172.25.158.102,10.146.213.108,8464,3389,TCP,DENY
67,2025-09-03 22:08:00,192.168.224.221,10.52.162.11,7569,3389,TCP,DROP
68,2025-09-07 05:47:00,172.23.154.193,192.168.146.223,4300,443,UDP,DENY
69,2025-09-02 12:20:00,10.80.254.218,172.22.237.209,57232,22,UDP,DENY
70,2025-09-01 03:30:00,10.115.205.210,192.168.56.175,35200,8080,UDP,ALLOW
71,2025-09-05 17:56:00,192.168.254.21,10.204.1.187,58140,80,TCP,DROP
72,2025-09-03 15:32:00,172.19.45.0,192.168.110.249,45099,443,UDP,ALLOW
73,2025-09-05 06:01:00,172.16.107.108,10.194.238.85,58950,80,TCP,DROP
74,2025-09-05 23:23:00,192.168.126.18,10.219.225.87,1214,3389,TCP,DROP
75,2025-09-02 21:57:00,10.47.213.36,172.29.152.193,2082,443,UDP,ALLOW
76,2025-09-04 02:54:00,172.22.37.171,172.16.109.51,33501,8080,UDP,DROP
77,2025-09-05 07:59:00,172.27.31.146,172.18.22.35,39635,22,TCP,DROP
78,2025-09-03 20:10:00,10.18.158.138,192.168.90.210,61213,22,UDP,DENY
79,2025-09-02 16:53:00,192.168.186.28,192.168.245.143,8989,8080,UDP,DENY
80,2025-09-02 04:40:00,172.23.11.38,192.168.37.146,17906,8080,TCP,DROP
81,2025-09-06 22:21:00,192.168.145.67,192.168.194.75,2947,3389,UDP,ALLOW
82,2025-09-02 12:54:00,192.168.123.68,10.233.130.126,48127,80,UDP,DROP
83,2025-09-06 05:36:00,10.234.125.59,10.179.144.143,17600,22,UDP,DROP
84,2025-09-04 01:57:00,172.19.23.198,192.168.230.106,63234,443,TCP,ALLOW
85,2025-09-04 09:19:00,192.168.51.112,10.245.186.82,20713,8080,TCP,ALLOW
86,2025-09-04 18:08:00,172.20.152.165,192.168.172.251,51369,443,TCP,ALLOW
87,2025-09-02 06:54:00,192.168.157.92,172.18.96.203,56356,22,UDP,DENY
88,2025-09-07 07:59:00,192.168.240.214,192.168.138.198,20072,443,TCP,DENY
89,2025-09-05 03:01:00,172.23.29.80,10.71.43.132,12596,443,UDP,DENY
90,2025-09-03 23:11:00,172.18.72.152,172.17.79.163,17924,8080,TCP,DROP
91,2025-09-03 05:07:00,172.20.182.151,172.31.114.12,5563,22,TCP,ALLOW
92,2025-09-01 05:43:00,172.25.4.213,10.247.168.255,52435,22,UDP,DROP
93,2025-09-05 17:32:00,192.168.125.102,172.31.7.126,6099,80,TCP,DROP
94,2025-09-04 12:42:00,192.168.30.64,10.186.190.161,10624,443,TCP,DENY
95,2025-09-01 18:31:00,172.28.71.152,172.19.19.28,14655,80,UDP,DROP
96,2025-09-01 08:28:00,172.27.66.2,172.22.36.110,17843,22,UDP,DENY
97,2025-09-01 10:49:00,172.22.56.182,10.200.62.46,59356,443,UDP,ALLOW
98,2025-09-06 12:22:00,10.88.85.8,192.168.159.193,56170,443,TCP,DENY
99,2025-09-07 13:30:00,10.123.194.2,192.168.0.181,16554,22,TCP,DENY
100,2025-09-03 23:24:00,172.20.145.221,172.27.157.235,22562,80,UDP,ALLOW
101,2025-09-06 15:33:00,192.168.167.142,10.96.177.40,55308,3389,UDP,DENY
102,2025-09-04 01:50:00,10.59.16.60,10.62.251.108,27806,80,UDP,DENY
103,2025-09-07 16:23:00,10.241.31.243,192.168.99.180,48679,80,TCP,ALLOW
104,2025-09-04 17:57:00,192.168.202.255,172.26.137.5,12153,22,UDP,DENY
105,2025-09-04 08:29:00,192.168.250.74,172.23.90.238,53526,3389,UDP,DENY
106,2025-09-04 15:55:00,192.168.169.41,172.18.139.248,44056,22,UDP,DROP
107,2025-09-02 16:10:00,172.16.184.234,10.159.104.150,19292,80,TCP,DROP
108,2025-09-02 10:35:00,10.47.3.93,192.168.179.58,50797,3389,UDP,DENY
109,2025-09-01 05:23:00,192.168.222.189,172.26.85.131,21742,8080,TCP,DENY
110,2025-09-01 19:55:00,192.168.98.215,10.217.52.229,49995,80,UDP,DROP
111,2025-09-02 12:45:00,10.170.197.161,172.21.146.48,21934,443,TCP,DENY
112,2025-09-01 14:35:00,172.16.34.23,10.88.176.230,12166,443,TCP,DROP
113,2025-09-05 14:17:00,172.27.199.88,172.20.225.108,33068,443,UDP,DENY
114,2025-09-07 13:20:00,192.168.22.53,172.21.103.138,31142,8080,UDP,ALLOW
115,2025-09-03 12:41:00,10.13.236.124,192.168.253.175,37600,80,TCP,ALLOW
116,2025-09-04 16:06:00,172.28.10.202,192.168.110.169,62169,22,UDP,ALLOW
117,2025-09-05 07:05:00,192.168.6.86,172.19.141.29,53249,80,TCP,DROP
118,2025-09-04 18:24:00,192.168.108.26,192.168.231.168,23972,443,TCP,ALLOW
119,2025-09-03 11:18:00,10.31.137.206,10.31.255.83,5739,8080,TCP,DENY
120,2025-09-07 03:56:00,10.101.147.25,172.26.245.157,47289,22,TCP,ALLOW
121,2025-09-05 00:38:00,172.24.216.3,172.23.92.99,49276,22,TCP,DENY
122,2025-09-04 00:42:00,172.19.245.255,10.18.169.51,46677,3389,UDP,ALLOW
123,2025-09-06 09:21:00,10.26.144.85,10.86.116.2,58091,80,UDP,DROP
124,2025-09-05 03:55:00,172.30.190.165,10.93.64.106,32826,80,UDP,DENY
125,2025-09-03 09:35:00,172.20.192.21,192.168.23.198,20610,80,TCP,DROP
126,2025-09-03 02:55:00,192.168.172.51,192.168.109.158,50141,443,UDP,DENY
127,2025-09-05 19:02:00,172.24.78.76,10.173.30.158,21963,3389,UDP,DROP
128,2025-09-05 03:30:00,192.168.115.49,10.175.114.121,60104,443,TCP,DROP
129,2025-09-04 08:32:00,10.40.159.19,10.34.181.202,16926,443,TCP,ALLOW
130,2025-09-01 18:31:00,192.168.135.120,172.18.50.30,58656,80,TCP,DENY
131,2025-09-01 05:06:00,172.16.161.214,192.168.12.206,23143,443,TCP,DENY
132,2025-09-02 21:58:00,192.168.231.186,172.31.231.122,16039,8080,TCP,ALLOW
133,2025-09-01 03:59:00,192.168.51.249,192.168.210.178,11947,443,UDP,DENY
134,2025-09-02 20:56:00,192.168.71.230,192.168.80.67,64598,3389,TCP,ALLOW
135,2025-09-07 18:53:00,192.168.247.187,172.18.0.221,8161,22,TCP,DROP
136,2025-09-01 23:31:00,10.71.57.55,172.17.62.141,4460,80,TCP,DENY
137,2025-09-07 08:33:00,172.16.239.65,192.168.67.53,34650,443,UDP,DENY
138,2025-09-06 03:27:00,172.18.212.12,10.178.250.8,1512,3389,UDP,ALLOW
139,2025-09-04 15:39:00,192.168.255.120,10.82.99.211,14480,3389,UDP,DENY
140,2025-09-03 14:18:00,192.168.187.110,10.194.144.1,24099,8080,UDP,DROP
141,2025-09-06 06:49:00,172.26.98.126,192.168.155.215,14808,8080,UDP,ALLOW
142,2025-09-04 15:58:00,192.168.33.201,192.168.215.195,58798,22,UDP,ALLOW
143,2025-09-01 02:35:00,172.21.69.171,172.26.211.126,44412,22,TCP,ALLOW
144,2025-09-05 04:43:00,192.168.97.140,192.168.22.253,52030,80,TCP,DROP
145,2025-09-06 05:45:00,172.22.241.35,192.168.211.13,8018,8080,TCP,DENY
146,2025-09-06 09:04:00,192.168.78.70,172.18.96.115,25635,443,TCP,DENY
147,2025-09-05 02:29:00,192.168.77.101,10.24.80.39,34132,443,TCP,ALLOW
148,2025-09-04 04:14:00,10.242.151.24,172.26.114.121,5550,3389,TCP,ALLOW
149,2025-09-04 09:10:00,172.23.245.127,172.21.105.101,23112,8080,UDP,DROP
150,2025-09-07 08:58:00,192.168.71.179,10.13.84.217,47445,80,UDP,DROP
151,2025-09-03 10:19:00,172.22.238.208,10.126.108.47,53970,3389,UDP,DROP
152,2025-09-04 06:04:00,10.233.3.219,10.91.227.19,30695,3389,UDP,DENY
153,2025-09-06 05:01:00,172.21.149.111,192.168.103.140,3290,3389,TCP,ALLOW
154,2025-09-04 16:41:00,10.29.246.25,10.209.234.200,56730,22,UDP,DENY
155,2025-09-01 13:48:00,172.30.145.87,10.175.8.107,56730,22,UDP,ALLOW
156,2025-09-06 13:03:00,10.38.113.75,192.168.119.142,33951,80,TCP,DROP
157,2025-09-02 04:40:00,172.26.139.12,192.168.247.127,65256,80,UDP,ALLOW
158,2025-09-07 00:14:00,10.190.65.160,10.223.212.11,42200,22,TCP,DROP
159,2025-09-01 03:47:00,172.25.2.239,10.186.208.72,14955,22,UDP,ALLOW
160,2025-09-01 08:48:00,10.58.105.184,192.168.245.157,21940,22,TCP,DENY
161,2025-09-02 08:14:00,10.24.162.92,192.168.158.33,19638,22,TCP,DROP
162,2025-09-03 17:35:00,192.168.193.54,192.168.211.149,38475,8080,UDP,ALLOW
163,2025-09-05 22:14:00,192.168.237.132,10.110.164.88,48225,443,UDP,ALLOW
164,2025-09-06 23:57:00,192.168.100.47,192.168.84.240,29904,80,UDP,DROP
165,2025-09-04 10:53:00,172.23.24.13,172.23.212.109,40138,80,UDP,ALLOW
166,2025-09-05 08:41:00,172.27.73.255,172.22.173.13,14882,22,UDP,DENY
167,2025-09-05 10:10:00,192.168.64.11,192.168.18.108,60918,443,UDP,ALLOW
168,2025-09-03 07:08:00,172.20.56.254,172.22.91.251,59410,443,UDP,ALLOW
169,2025-09-03 01:10:00,192.168.177.132,10.218.106.182,25933,8080,TCP,DENY
170,2025-09-04 20:06:00,172.17.112.187,10.167.104.226,46105,22,TCP,DROP
171,2025-09-01 09:24:00,10.170.30.50,192.168.42.65,9568,8080,TCP,DENY
172,2025-09-04 09:55:00,10.189.164.246,172.17.17.209,28462,8080,UDP,ALLOW
173,2025-09-07 09:29:00,10.39.28.213,172.24.186.182,16166,80,TCP,DROP
174,2025-09-01 01:52:00,10.221.108.9,10.163.153.94,5681,22,UDP,DENY
175,2025-09-03 11:16:00,172.26.229.182,192.168.69.201,39118,22,TCP,DROP
176,2025-09-06 20:25:00,192.168.5.192,10.80.26.25,42803,443,UDP,DENY
177,2025-09-01 01:46:00,10.166.233.241,192.168.214.71,39706,8080,TCP,ALLOW
178,2025-09-06 22:36:00,192.168.194.10,10.75.206.191,5801,3389,UDP,DENY
179,2025-09-05 21:15:00,172.26.161.9,172.21.165.28,44158,8080,TCP,ALLOW
180,2025-09-01 06:06:00,10.108.5.81,192.168.238.142,58600,80,UDP,ALLOW
181,2025-09-02 18:20:00,172.22.209.225,192.168.43.98,48712,80,UDP,DROP
182,2025-09-05 08:14:00,10.71.138.126,192.168.109.241,33304,443,TCP,ALLOW
183,2025-09-03 17:37:00,192.168.72.121,10.118.54.212,13825,80,TCP,DROP
184,2025-09-04 11:36:00,192.168.111.201,192.168.128.241,64081,80,TCP,DROP
185,2025-09-07 06:08:00,192.168.28.198,10.99.75.182,49497,443,TCP,ALLOW
186,2025-09-07 02:04:00,172.26.159.71,10.11.204.46,2407,80,TCP,DROP
187,2025-09-03 12:33:00,10.170.161.79,10.109.220.107,63463,3389,TCP,ALLOW
188,2025-09-02 07:00:00,172.29.195.127,10.11.114.174,57786,3389,TCP,DROP
189,2025-09-03 20:46:00,192.168.25.180,172.27.39.50,16760,8080,UDP,DENY
190,2025-09-06 22:41:00,192.168.126.134,192.168.243.78,22781,8080,UDP,DROP
191,2025-09-06 22:03:00,10.164.69.233,192.168.104.106,2468,80,UDP,ALLOW
192,2025-09-07 09:19:00,192.168.94.145,192.168.185.167,56477,8080,TCP,DROP
193,2025-09-04 07:21:00,172.16.239.40,192.168.48.73,62855,3389,TCP,DROP
194,2025-09-07 05:55:00,10.135.189.217,172.27.174.91,52883,443,TCP,DENY
195,2025-09-06 11:13:00,172.21.146.140,192.168.27.255,14268,3389,UDP,ALLOW
196,2025-09-07 16:09:00,172.19.74.65,10.52.92.64,40818,22,UDP,DENY
197,2025-09-03 07:35:00,10.182.54.105,192.168.72.232,61612,8080,TCP,DROP
198,2025-09-03 10:59:00,192.168.101.51,192.168.216.67,54449,443,UDP,ALLOW
199,2025-09-02 23:48:00,192.168.220.123,192.168.40.249,36291,443,TCP,ALLOW
200,2025-09-01 23:17:00,172.18.116.46,172.20.241.75,49463,8080,UDP,DROP
201,2025-09-06 11:53:00,10.212.148.5,10.21.204.175,40695,443,TCP,DROP
202,2025-09-05 12:58:00,172.31.208.138,10.21.245.130,29098,8080,UDP,DROP
203,2025-09-02 21:51:00,172.18.107.131,10.246.18.191,50040,22,UDP,DROP
204,2025-09-05 17:32:00,192.168.216.84,10.205.0.148,17383,443,TCP,DENY
205,2025-09-07 03:40:00,192.168.73.21,172.16.23.96,56618,22,UDP,ALLOW
206,2025-09-03 02:38:00,172.16.4.56,192.168.150.238,12066,22,TCP,DROP
207,2025-09-01 21:17:00,172.31.75.254,172.17.4.122,10549,80,TCP,DROP
208,2025-09-04 11:18:00,10.56.62.136,172.16.249.124,12889,22,TCP,DENY
209,2025-09-07 00:22:00,172.26.198.174,192.168.198.151,14308,3389,TCP,ALLOW
210,2025-09-07 10:24:00,192.168.41.50,10.73.149.7,37212,80,TCP,DROP
211,2025-09-01 20:31:00,192.168.187.180,172.26.185.79,18853,8080,TCP,ALLOW
212,2025-09-05 08:50:00,10.69.218.224,10.212.112.242,6572,8080,TCP,DROP
213,2025-09-06 07:45:00,10.78.102.40,10.70.62.182,32089,3389,UDP,DENY
214,2025-09-04 08:28:00,10.147.25.203,192.168.218.161,63761,443,UDP,DROP
215,2025-09-06 00:13:00,172.25.45.17,10.184.213.175,46808,443,TCP,ALLOW
216,2025-09-04 09:03:00,10.219.249.220,172.27.54.102,2525,8080,UDP,DENY
217,2025-09-04 16:11:00,192.168.126.88,10.201.218.115,31609,3389,UDP,DENY
218,2025-09-02 18:04:00,172.31.253.230,10.219.92.83,33583,80,UDP,DENY
219,2025-09-03 00:43:00,192.168.107.218,192.168.55.107,44419,443,UDP,DENY
220,2025-09-06 11:45:00,192.168.115.117,10.226.17.225,63523,443,TCP,DROP
221,2025-09-07 00:27:00,172.21.198.61,192.168.162.171,56593,3389,UDP,DROP
222,2025-09-05 03:38:00,192.168.208.57,10.221.180.241,29970,3389,TCP,ALLOW
223,2025-09-03 09:15:00,172.30.184.177,192.168.130.143,27665,22,TCP,DENY
224,2025-09-05 22:16:00,10.144.77.114,10.107.204.112,31157,22,UDP,DENY
225,2025-09-01 22:45:00,10.39.45.184,192.168.74.247,55605,22,TCP,DROP
226,2025-09-06 13:08:00,192.168.70.70,172.16.236.178,4305,3389,TCP,DROP
227,2025-09-02 11:15:00,172.25.12.66,10.214.11.121,57176,80,UDP,DROP
228,2025-09-04 15:08:00,10.187.50.174,10.60.114.119,35641,80,TCP,DENY
229,2025-09-04 14:04:00,192.168.123.189,10.221.216.164,26688,22,UDP,ALLOW
230,2025-09-03 09:56:00,10.111.171.183,172.21.46.68,27648,8080,TCP,ALLOW
231,2025-09-04 23:12:00,172.24.42.128,10.210.201.51,37832,8080,TCP,DROP
232,2025-09-02 21:50:00,172.25.66.190,192.168.244.81,56427,3389,TCP,DROP
233,2025-09-06 11:07:00,192.168.194.80,10.124.134.236,59358,8080,TCP,DROP
234,2025-09-01 02:08:00,10.66.85.99,172.21.200.192,54987,8080,TCP,DENY
235,2025-09-04 00:23:00,192.168.208.148,192.168.133.30,7660,443,TCP,DENY
236,2025-09-01 03:22:00,192.168.223.72,192.168.255.22,36289,443,UDP,DENY
237,2025-09-06 17:08:00,192.168.112.230,172.26.9.252,26610,22,TCP,ALLOW
238,2025-09-03 18:58:00,172.24.211.135,172.31.52.169,33445,22,TCP,ALLOW
239,2025-09-01 01:10:00,192.168.240.190,192.168.42.182,39563,3389,UDP,ALLOW
240,2025-09-07 01:13:00,192.168.199.66,172.25.144.209,3807,443,UDP,ALLOW
241,2025-09-04 22:58:00,10.3.5.97,172.21.245.215,3581,443,TCP,DENY
242,2025-09-06 13:20:00,192.168.72.141,192.168.98.201,40960,22,TCP,DENY
243,2025-09-04 16:22:00,192.168.127.250,172.24.177.217,52787,8080,UDP,DROP
244,2025-09-07 19:57:00,10.68.16.10,172.19.236.199,60290,8080,TCP,ALLOW
245,2025-09-05 18:59:00,192.168.42.36,172.18.202.172,60013,443,TCP,ALLOW
246,2025-09-05 04:42:00,10.11.123.33,10.92.218.5,57165,80,TCP,ALLOW
247,2025-09-03 08:05:00,172.31.202.103,192.168.150.231,46894,22,TCP,DROP
248,2025-09-05 16:38:00,172.22.95.238,10.225.142.228,4729,3389,UDP,DROP
249,2025-09-06 07:38:00,10.178.140.170,172.27.93.255,37889,22,TCP,DROP
250,2025-09-07 01:20:00,192.168.247.22,172.29.86.31,17954,80,UDP,DROP
251,2025-09-01 22:11:00,172.16.211.155,10.27.62.167,42819,443,TCP,DROP
252,2025-09-07 14:35:00,192.168.22.100,192.168.201.254,40250,8080,UDP,ALLOW
253,2025-09-04 00:47:00,10.83.245.169,172.29.66.181,64042,22,UDP,ALLOW
254,2025-09-04 00:33:00,172.18.57.59,10.98.239.81,31045,443,TCP,DENY
255,2025-09-05 05:54:00,192.168.163.33,172.20.177.208,27031,443,TCP,ALLOW
256,2025-09-01 04:18:00,172.27.70.237,172.22.158.76,32424,3389,UDP,ALLOW
257,2025-09-05 06:17:00,172.22.149.13,10.164.184.219,54638,80,UDP,DENY
258,2025-09-06 15:44:00,172.23.155.184,192.168.184.82,27899,443,UDP,DROP
259,2025-09-01 07:59:00,10.19.178.213,10.60.221.121,42197,8080,TCP,DROP
260,2025-09-01 01:34:00,10.175.69.230,10.44.247.191,4443,443,UDP,DROP
261,2025-09-04 22:52:00,192.168.162.83,172.20.233.152,49302,443,TCP,DROP
262,2025-09-07 11:40:00,10.215.181.196,172.18.127.248,25632,8080,UDP,DROP
263,2025-09-06 03:24:00,172.24.94.19,172.23.133.165,55784,8080,UDP,ALLOW
264,2025-09-03 14:26:00,192.168.126.141,10.168.243.138,23955,22,UDP,DENY
265,2025-09-03 15:38:00,10.72.25.166,192.168.218.102,48600,22,TCP,ALLOW
266,2025-09-05 20:48:00,172.29.73.246,172.17.164.190,63867,80,UDP,ALLOW
267,2025-09-06 21:55:00,192.168.145.173,10.158.214.199,37561,8080,TCP,DENY
268,2025-09-06 09:16:00,172.31.101.28,172.19.52.190,14994,80,UDP,ALLOW
269,2025-09-01 15:53:00,192.168.227.115,172.29.61.177,22733,80,TCP,ALLOW
270,2025-09-04 12:00:00,172.22.122.239,10.13.29.139,65248,3389,UDP,DROP
271,2025-09-03 20:14:00,192.168.1.32,172.23.178.38,4414,3389,TCP,ALLOW
272,2025-09-02 10:08:00,172.27.107.28,172.27.238.11,36301,3389,UDP,ALLOW
273,2025-09-02 15:21:00,10.57.95.191,10.85.56.141,45328,443,TCP,ALLOW
274,2025-09-01 22:26:00,172.28.5.20,172.26.238.202,49914,443,UDP,ALLOW
275,2025-09-07 13:45:00,192.168.151.223,10.114.56.159,42984,80,UDP,DENY
276,2025-09-02 20:13:00,10.176.11.175,10.216.173.12,16625,3389,TCP,DENY
277,2025-09-01 11:38:00,10.103.171.60,192.168.103.53,48922,8080,UDP,ALLOW
278,2025-09-02 23:34:00,172.16.160.141,192.168.66.246,27148,3389,TCP,DENY
279,2025-09-03 08:47:00,192.168.95.203,172.24.35.107,53224,8080,TCP,DENY
280,2025-09-05 09:23:00,10.175.1.136,172.30.139.120,18017,8080,UDP,DENY
281,2025-09-01 18:36:00,10.69.211.127,10.41.41.68,11136,8080,UDP,ALLOW
282,2025-09-04 12:24:00,10.50.67.222,172.29.211.15,51614,80,UDP,DENY
283,2025-09-03 21:14:00,172.21.56.222,192.168.4.146,47035,443,UDP,DROP
284,2025-09-06 19:10:00,172.19.7.187,172.30.190.146,46995,8080,UDP,DENY
285,2025-09-03 09:33:00,192.168.54.4,192.168.75.146,24792,443,TCP,DENY
286,2025-09-04 07:07:00,192.168.248.132,10.120.32.101,11213,80,UDP,DROP
287,2025-09-05 16:38:00,172.28.161.234,192.168.14.179,19873,443,TCP,ALLOW
288,2025-09-05 12:10:00,10.229.101.251,10.174.97.199,21614,22,UDP,DENY
289,2025-09-04 18:44:00,10.73.173.107,192.168.121.123,60731,3389,TCP,DENY
290,2025-09-03 00:28:00,10.220.215.201,10.215.31.121,11325,443,TCP,ALLOW
291,2025-09-06 11:18:00,192.168.117.122,192.168.82.135,34329,8080,TCP,DENY
292,2025-09-01 04:49:00,10.199.204.219,10.50.14.176,57288,80,TCP,ALLOW
293,2025-09-06 10:28:00,10.18.230.58,10.56.151.239,2166,80,TCP,ALLOW
294,2025-09-06 14:39:00,172.17.252.114,192.168.8.54,29573,22,UDP,ALLOW
295,2025-09-02 02:46:00,192.168.107.11,10.31.239.227,19542,443,UDP,ALLOW
296,2025-09-01 22:39:00,172.20.248.64,172.20.44.255,15677,80,TCP,DENY
297,2025-09-07 20:31:00,192.168.79.170,10.21.157.120,20798,3389,TCP,DENY
298,2025-09-06 17:00:00,10.95.116.29,10.26.130.190,14494,22,UDP,DENY
299,2025-09-04 17:51:00,10.219.148.141,192.168.41.39,53729,443,TCP,ALLOW
300,2025-09-04 10:56:00,10.75.182.149,172.23.136.49,15568,80,UDP,DROP
301,2025-09-07 14:57:00,10.232.147.117,172.16.203.158,48719,80,TCP,ALLOW
302,2025-09-07 10:46:00,172.30.74.83,192.168.55.243,37890,8080,UDP,ALLOW
303,2025-09-03 10:32:00,10.118.64.244,192.168.33.25,59664,8080,TCP,ALLOW
304,2025-09-06 11:11:00,192.168.172.165,10.62.162.7,17450,80,TCP,DENY
305,2025-09-05 17:39:00,10.176.176.32,172.28.122.210,11376,22,UDP,DROP
306,2025-09-07 05:03:00,192.168.148.126,10.197.227.204,62987,8080,TCP,DENY
307,2025-09-01 17:22:00,10.173.209.225,192.168.28.253,31470,22,UDP,DROP
308,2025-09-06 06:31:00,10.103.214.190,10.32.162.180,46432,3389,TCP,ALLOW
